"","Sitio","Long","Lat","ViaSentido","DATA","VMD"
"263","01385277",-38.475231,-3.74375,"AV. SANTOS DUMONT [O-L]","2017-01",18442
"264","01385278",-38.524084,-3.738699,"AV. DOMINGOS OLIMPIO [O-L]","2017-01",3311
"265","01385279",-38.522906,-3.738964,"AV. ANTONIO SALES [O-L]","2017-01",2781
"266","01385280",-38.521941,-3.739377,"AV. ANTONIO SALES [O-L]","2017-01",3096
"267","01385281",-38.520982,-3.739687,"AV. ANTONIO SALES [O-L]","2017-01",2358
"268","01385282",-38.519853,-3.740053,"AV. ANTONIO SALES [O-L]","2017-01",3517
"269","01385283",-38.51869,-3.740422,"AV. ANTONIO SALES [O-L]","2017-01",2581
"270","01385284",-38.51768,-3.740739,"AV. ANTONIO SALES [O-L]","2017-01",2646
"271","01385285",-38.516653,-3.741056,"AV. ANTONIO SALES [O-L]","2017-01",3040
"272","01385286",-38.515458,-3.741431,"AV. ANTONIO SALES [O-L]","2017-01",2604
"273","01385287",-38.514569,-3.741701,"AV. ANTONIO SALES [O-L]","2017-01",2507
"274","01385288",-38.513511,-3.742046,"AV. ANTONIO SALES [O-L]","2017-01",2833
"275","01385289",-38.512265,-3.742433,"AV. ANTONIO SALES [O-L]","2017-01",4306
"276","01385290",-38.511274,-3.742736,"AV. ANTONIO SALES [O-L]","2017-01",2552
"277","01385291",-38.509885,-3.743173,"AV. ANTONIO SALES [O-L]","2017-01",2970
"278","01385293",-38.508084,-3.743731,"AV. ANTONIO SALES [O-L]","2017-01",2804
"279","01385294",-38.506864,-3.744104,"AV. ANTONIO SALES [O-L]","2017-01",2584
"280","01385295",-38.50588,-3.744415,"AV. ANTONIO SALES [O-L]","2017-01",2744
"281","01385296",-38.504961,-3.744693,"AV. ANTONIO SALES [O-L]","2017-01",2312
"282","01385297",-38.504103,-3.744953,"AV. ANTONIO SALES [O-L]","2017-01",3000
"283","01385298",-38.503105,-3.745266,"AV. ANTONIO SALES [O-L]","2017-01",2167
"284","01385299",-38.501998,-3.745609,"AV. ANTONIO SALES [O-L]","2017-01",2949
"285","01385300",-38.501051,-3.745896,"AV. ANTONIO SALES [O-L]","2017-01",2301
