 Mortalidade - Brasil
Óbitos p/Ocorrênc por Município e Ano do Óbito
Causa - CID-BR-10: . 104 Acidentes de transporte
Período:2010-2019
"Município";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"110030 Vilhena";35;22;38;33;28;39;31;30;33;36;325
"110000 Município ignorado - RO";1;1;-;-;-;-;-;-;1;-;3
"120001 Acrelândia";-;2;4;2;3;3;5;2;4;2;27
"120005 Assis Brasil";-;-;-;-;1;-;-;1;-;-;2
"120010 Brasiléia";6;5;6;3;6;5;-;4;1;7;43
"120013 Bujari";-;2;7;4;2;2;-;1;-;1;19
"120017 Capixaba";1;2;7;6;2;3;1;2;1;1;26
"120020 Cruzeiro do Sul";19;20;12;12;17;15;19;12;9;17;152
"120025 Epitaciolândia";2;-;5;3;-;2;1;2;-;-;15
"120030 Feijó";1;2;-;3;4;4;-;2;3;4;23
"120032 Jordão";-;-;2;-;-;-;-;-;-;1;3
"120033 Mâncio Lima";2;2;4;3;1;1;2;2;2;1;20
"120034 Manoel Urbano";2;-;2;2;1;2;1;1;-;-;11
"120035 Marechal Thaumaturgo";-;-;-;-;1;-;-;-;-;-;1
"120038 Plácido de Castro";1;4;3;3;3;1;3;2;1;4;25
"120080 Porto Acre";1;6;4;1;2;-;4;4;1;-;23
"120039 Porto Walter";-;-;-;-;-;-;-;-;1;-;1
"120040 Rio Branco";99;103;93;82;80;69;70;65;59;69;789
"120042 Rodrigues Alves";-;1;-;-;3;1;-;-;1;1;7
"120050 Sena Madureira";2;10;7;3;3;4;2;6;6;1;44
"120045 Senador Guiomard";3;3;4;2;4;3;13;4;5;4;45
"120060 Tarauacá";1;6;3;1;3;2;7;4;4;3;34
"120070 Xapuri";1;-;1;-;4;2;1;4;4;3;20
"130002 Alvarães";1;-;1;1;2;2;2;-;-;1;10
"130006 Amaturá";1;-;-;-;-;1;-;-;-;-;2
"130008 Anamã";-;-;-;-;-;-;1;-;-;1;2
"130010 Anori";3;1;1;-;-;1;-;2;-;-;8
"130014 Apuí";9;3;8;1;7;3;8;3;2;5;49
"130020 Atalaia do Norte";-;-;1;4;1;5;1;-;-;-;12
"130030 Autazes";10;7;1;2;3;2;3;4;4;7;43
"130040 Barcelos";1;2;2;-;-;-;1;-;1;2;9
"130050 Barreirinha";1;3;4;4;10;1;2;2;3;2;32
"130060 Benjamin Constant";4;2;4;3;3;-;-;2;5;-;23
"130063 Beruri";-;-;1;-;-;-;-;-;1;2;4
"130068 Boa Vista do Ramos";-;-;3;-;3;5;1;-;2;2;16
"130070 Boca do Acre";1;6;5;2;5;4;2;6;7;8;46
"130080 Borba";2;5;5;1;2;1;2;2;6;2;28
